from,amount,to

314,$470.21,275

12,"$1,788.98",149

316,"$2,949.53",417

5,"$2,193.48",454

198,"$1,402.76",371

82,"$1,212.14",420

222,"$1,167.72",396

348,"$4,024.42",399

474,"$1,216.86",60

449,$974.59,422

415,$232.12,351

164,$353.19,42

321,"$4,202.13",377

99,"$1,178.71",51

251,"$3,015.86",262

374,"$2,014.48",299

351,"$2,807.71",302

286,"$2,516.63",166

110,$464.08,385

171,"$1,623.41",452

293,$727.26,208

373,"$2,200.46",499

194,"$1,393.01",258

315,$764.34,487

199,$586.14,48

67,$402.24,59

481,"$6,551.75",400

154,"$1,076.45",193

431,$577.47,196

408,$385.03,153

240,$532.56,92

195,$60.00,361

425,$438.85,417

309,"$2,222.94",131

366,$732.07,76

492,$891.88,342

384,"$1,936.74",414

83,$270.87,427

43,"$1,100.84",202

428,"$1,825.57",387

238,"$1,059.79",381

426,$416.23,97

190,"$7,057.28",238

229,$722.97,159

129,$785.86,303

44,"$2,961.07",105

306,$893.92,178

10,"$1,496.96",467

371,"$1,751.68",157

230,$523.62,457

375,"$1,410.61",294

398,"$1,744.94",230

458,$936.08,259

222,"$1,103.22",308

481,"$1,654.38",237

470,"$2,280.63",268

317,"$2,053.48",361

56,"$9,852.78",353

397,"$2,017.73",103

411,$269.39,121

343,$836.03,402

315,$655.92,66

109,$290.22,499

368,"$2,804.14",451

381,$344.33,447

334,"$1,060.24",195

22,$627.40,168

99,$177.08,339

55,$394.52,482

276,$694.70,255

68,$426.06,219

19,$224.15,158

100,$732.88,53

380,$722.67,362

435,$517.00,257

383,$473.34,113

250,$651.47,128

363,"$1,243.05",235

314,"$3,420.17",402

480,$295.77,165

374,$269.03,447

355,$228.60,380

62,"$4,357.75",463

82,"$4,266.88",338

303,$740.06,417

216,$887.74,259

441,$703.51,232

179,$680.88,484

494,"$1,054.21",296

10,$514.41,107

375,$322.26,44

71,"$1,530.73",273

329,"$1,299.74",104

157,"$1,584.45",227

85,$755.30,341

3,"$1,632.47",281

387,"$2,413.67",107

165,$376.65,144

19,$234.06,227

30,"$1,800.00",82

186,"$1,325.31",111

321,"$1,227.36",265

376,$388.89,106

206,"$1,664.05",491

317,"$4,131.58",481

305,$559.64,416

480,$314.48,315

213,$619.87,324

146,$557.71,485

224,"$1,227.55",384

57,"$2,181.91",308

103,$727.55,59

8,$187.74,45

82,"$1,208.27",166

418,"$2,141.68",319

441,"$3,815.27",292

145,$727.08,440

246,"$1,636.40",412

261,$669.03,357

385,$650.80,243

266,$515.37,119

429,$275.61,40

409,"$1,729.57",323

177,$251.65,236

407,"$2,213.90",161

259,$558.52,177

266,$75.22,174

391,$517.39,15

408,"$5,373.07",99

314,"$4,554.54",480

386,$670.23,390

104,"$1,049.91",473

182,"$4,335.32",206

213,"$2,512.49",470

353,$370.00,125

475,"$1,589.67",363

327,$309.84,295

134,"$1,091.13",2

131,"$2,311.24",171

156,"$2,267.34",37

271,"$4,804.91",477

115,"$1,604.34",101

20,"$7,078.80",178

55,"$1,003.58",209

461,$309.10,24

287,$278.88,9

468,"$1,491.53",408

291,"$4,217.41",482

43,"$1,758.93",299

339,"$1,524.84",377

93,$818.93,327

171,"$4,760.05",483

19,$398.15,353

284,"$5,046.85",167

406,$885.36,44

218,$613.08,85

197,"$1,286.13",458

267,"$1,411.61",344

419,"$1,712.26",102

35,$160.18,365

339,"$1,178.29",191

368,$306.39,224

212,"$3,479.31",133

127,"$7,254.72",456

473,$470.56,43

331,"$1,047.33",388

448,$100.02,455

162,$687.33,270

124,$680.25,204

154,"$1,083.41",17

220,"$1,915.81",129

457,"$40,989.25",109

499,"$3,342.66",44

144,"$2,783.59",220

134,$808.19,59

357,"$1,078.27",27

450,"$2,140.06",163

459,$848.27,83

57,"$3,003.70",423

14,$321.72,38

229,"$1,377.87",39

462,"$6,885.23",214

6,$579.71,333

265,"$13,696.21",410

100,"$1,008.54",243

14,$724.35,330

363,$432.44,92

110,$349.71,247

238,$587.19,159

335,"$1,970.20",418

221,"$4,711.15",311

276,"$1,666.78",425

472,$384.65,135

242,$256.97,384

70,"$1,330.76",175

128,$386.44,206

226,"$14,815.39",109

301,$851.73,166

248,$136.53,479

315,$497.60,97

92,"$3,980.88",252

255,$691.36,199

73,"$4,408.40",257

300,"$1,700.34",401

121,"$1,466.14",475

212,"$1,310.31",186

31,$594.66,116

412,"$1,864.31",254

73,"$3,008.67",260

93,"$2,531.03",97

323,"$1,628.82",342

35,"$1,634.31",312

361,"$3,465.29",31

403,"$2,398.64",224

24,$517.49,41

111,"$1,449.11",350

293,"$1,443.16",498

199,"$4,204.08",121

314,"$2,282.49",336

11,$174.45,104

406,"$1,734.32",58

89,$962.88,430

158,$401.67,105

4,"$8,771.84",207

245,"$2,352.38",94

63,$497.15,137

291,"$1,171.73",66

353,"$1,512.22",411

488,"$4,258.34",247

41,"$2,141.31",467

19,$743.14,32

134,$743.48,187

35,"$2,469.19",156

352,"$1,777.72",361

3,$661.28,8

432,"$1,542.76",20

67,$222.40,28

442,"$1,534.33",118

321,"$5,033.42",107

460,$495.99,363

71,$793.65,102

134,$541.62,487

49,"$1,164.67",275

307,$584.26,398

273,$297.73,108

252,"$1,163.23",21

387,$128.02,274

179,$744.15,360

283,"$1,341.75",340

231,"$1,857.14",300

374,"$2,268.69",76

386,$784.39,403

277,$865.99,258

262,$829.92,410

204,$380.58,380

206,$529.20,152

26,"$2,094.02",420

430,$700.70,103

353,$573.57,8

388,"$2,566.45",476

371,$741.16,168

30,"$1,000.08",384

312,$399.90,451

265,"$3,713.28",97

323,$271.01,333

130,"$2,823.03",374

399,$611.17,362

303,$393.58,354

292,$417.16,226

254,$457.10,378

146,"$9,274.72",363

179,$746.83,61

95,$196.44,429

115,$915.38,445

346,$969.94,434

360,$194.02,18

104,$979.59,463

4,"$1,181.22",169

420,"$1,293.82",343

314,"$3,327.81",62

361,$345.16,374

458,"$5,966.93",391

186,$970.95,337

182,$597.41,101

22,$799.15,199

392,$70.78,433

77,$139.55,339

12,"$1,272.32",457

443,$306.22,254

262,"$2,591.31",353

335,"$3,208.76",210

248,$735.99,37

155,$574.97,259

201,"$4,386.84",232

41,"$1,568.20",94

332,$396.59,93

273,$549.25,318

397,$310.18,227

477,$174.61,242

392,"$1,168.89",276

493,$681.25,327

433,$612.14,277

255,$100.17,379

208,"$1,474.49",249

259,$417.70,290

4,"$1,569.43",435

150,"$1,456.86",55

358,$226.75,127

2,"$3,006.91",199

13,$251.21,161

240,$965.39,92

2,$943.58,128

393,"$1,031.17",165

488,"$1,439.99",53

148,"$2,469.45",252

463,$659.40,172

487,"$4,733.68",22

485,"$1,084.50",17

232,$911.88,123

168,$918.56,447

139,$539.59,289

455,"$1,417.29",420

296,"$2,208.18",136

59,$630.41,468

160,"$4,248.47",293

248,$852.48,64

355,"$1,206.96",14

424,$834.31,317

163,"$2,963.65",239

352,"$1,461.07",339

144,"$2,511.10",30

11,"$3,660.25",407

131,$773.10,149

291,"$1,539.72",379

275,$89.85,253

78,$109.84,29

136,"$2,859.82",339

199,$455.39,349

312,"$1,164.03",63

431,$625.29,398

162,"$5,047.20",217

395,"$1,598.67",384

321,"$2,304.69",140

339,"$1,363.57",406

6,$428.89,53

142,"$1,588.33",171

420,$442.72,354

28,$807.39,229

449,"$2,174.10",479

92,"$3,588.06",348

407,$448.75,401

358,"$2,555.94",18

224,$764.24,35

45,"$1,049.36",347

346,"$5,860.65",499

105,"$1,006.07",403

104,"$1,091.57",129

150,$976.73,432

165,$145.26,24

358,"$3,160.25",136

328,"$1,640.47",82

106,"$3,242.25",215

93,"$1,125.29",413

476,"$1,603.09",202

9,"$1,004.42",94

214,"$1,628.40",384

258,"$1,864.45",314

474,$339.62,62

454,"$3,476.43",56

479,$302.71,378

482,"$1,178.75",143

221,$877.46,408

121,"$4,113.09",303

263,$211.17,229

468,"$4,955.14",111

47,"$1,039.69",145

318,$692.33,21

443,"$1,006.69",107

167,"$3,011.61",406

1,"$1,131.66",274

438,"$1,234.61",455

272,$424.79,213

342,$417.32,212

246,$260.93,69

250,"$1,213.48",201

223,"$2,331.36",452

45,$330.99,372

109,$548.89,424

180,$113.92,294

55,"$3,595.13",115

58,"$5,816.93",393

349,$878.81,250

464,$647.25,355

246,$171.94,346

246,"$1,861.91",203

49,"$2,004.12",73

310,"$4,339.41",430

449,$283.30,303

383,"$1,576.98",101

340,"$1,475.28",231

81,$991.77,211

272,"$1,542.59",340

113,"$1,393.69",379

83,"$2,224.56",29

326,"$1,682.62",381

372,$640.63,36

473,"$1,474.53",45

283,"$2,334.69",79

381,"$1,896.83",468

132,$560.10,88

75,"$1,166.65",74

33,$855.59,322

253,"$2,133.17",24

200,$413.00,166

442,"$2,860.02",38

408,"$1,774.50",430

294,"$1,350.81",349

350,$967.81,78

184,$704.24,367

128,$861.05,495

47,$852.94,62

485,$237.67,244

392,"$3,384.95",492

119,$713.39,379

4,$959.54,379

471,$207.14,218

234,$386.59,378

415,$230.62,415

449,"$2,603.25",175

184,$72.39,154

324,$566.85,84

260,"$1,229.97",86

288,$896.51,139

362,$574.66,435

392,"$1,373.92",46

41,$287.10,76

377,$149.87,224

229,$316.09,441

226,$978.07,394

309,$465.95,117

60,$731.71,438

81,$795.84,324

277,$959.05,206

205,$459.52,109

274,"$2,111.87",95

136,"$6,347.05",104

397,$68.11,484

82,$302.16,117

260,$265.67,47

317,"$1,137.10",89

237,"$14,082.69",237

172,"$3,862.72",362

436,$384.89,200

379,$303.24,21

72,$468.66,474

387,$505.53,352

460,$781.25,295

357,$218.74,383

190,"$1,149.42",123

97,$948.65,158

139,$952.04,42

339,$906.62,500

308,$422.13,154

446,$321.61,40

412,$560.44,125

273,"$1,739.17",25

296,$172.38,320

383,"$3,460.33",9

395,"$2,413.61",94

378,"$3,750.64",153

50,"$3,379.41",220

163,"$2,498.72",268

215,$661.49,168

332,"$3,792.10",335

34,$755.33,181

494,$987.01,488

63,$841.08,163

106,"$1,200.81",79

351,"$1,466.40",20

79,"$4,086.39",312

69,"$5,188.44",215

465,"$13,915.07",270

168,"$1,406.36",126

16,$462.39,94

340,$141.00,178

367,"$6,036.79",3

402,$688.42,360

495,"$1,141.15",272

252,"$1,487.55",88

6,$754.84,364

376,$927.66,30

479,"$5,476.80",479

108,"$1,767.24",276

26,$774.30,198

195,"$2,385.87",282

450,$769.81,498

219,$415.78,454

290,"$2,193.07",395

242,$351.38,288

101,"$3,040.53",167

269,$590.78,230

331,"$4,940.42",450

211,"$1,249.42",15

67,"$1,157.98",349

182,$886.22,227

45,"$2,444.09",436

249,"$11,793.86",185

67,$543.58,194

57,$224.65,134

460,"$11,544.86",156

